Person,Source,Link,text
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What harsh truths do you prefer to ignore?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Is free will real or just an illusion?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"Is there a meaning to life? If so, what is it?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Where is the line between art and not art?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What should be the goal of humanity?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"Does fate exist? If so, do we have free will?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What does it mean to live a good life?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Why do we dream?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Where does your self-worth come from?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,How will humans as a species go extinct?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Is it possible to live a normal life and not ever tell a lie?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Does a person’s name influence the person they become?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Is the meaning of life the same for animals and humans?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"If someone you loved was killed in front of you, but someone created a copy of them that was perfect right down to the atomic level, would they be the same person and would you love them just as much?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"If you could become immortal on the condition you would NEVER be able to die or kill yourself, would you choose immortality?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What actions in your life will have the longest reaching consequences? How long will those effects be felt?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,How long will you be remembered after you die?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"If a child somehow survived and grew up in the wilderness without any human contact, how “human” would they be without the influence of society and culture?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,How would humanity change if all humans’ life expectancy was significantly increased (let’s say to around 500 years)?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Where do you find meaning in your life?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What do you think would be humanity’s reaction to the discovery of extraterrestrial life?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Will religion ever become obsolete?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"If you could teach everyone in the world one concept, what concept would have the biggest positive impact on humanity?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Is suffering a necessary part of the human condition? What would people who never suffered be like?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"Does hardship make a person stronger? If so, under what conditions and at what point is it too much hardship? If not, what makes a person stronger?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Would things get better or worse if humans focused on what was going well rather than what’s going wrong?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What benefits does art provide society? Does art hurt society in any way?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"How likely do you think it will be that humans will last another 1,000 years without killing ourselves off?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What do you attribute the biggest successes in your life to? How about your largest failures?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"If freedom is simply being able to do what you want, are animals freer than humans?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Would you want to know you are going to die before hand or die suddenly without warning?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Is humanity headed in the right or wrong direction?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Does the study of philosophy ever lead to answers or simply more questions?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What is the best way for a person to attain happiness?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"If you had to guess, what do you think would be the most likely way you’ll die?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Is it better for a person to have a broad knowledge base or a deep knowledge base?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"What is the best way to train people to see the gradients in the world around them instead of just a simplistic “this is good, that is wrong” view of the world?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Is intelligence or wisdom more useful?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Which of your beliefs are justified and which ones aren’t?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What do you contribute back to society?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What are you going to do with the one life you have?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"Is it more important to help yourself, help your family, help your society, or help the world?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What life-altering things should every human ideally get to experience at least once in their lives?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What is the most important goal every person should have?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Is it better to be a big fish in a small pond or a small fish in a big pond?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What are you capable of achieving?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,By what standards do you judge yourself?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Can human nature be changed? Should it be changed?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,How replaceable are you?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Why don’t we as a species take more advantage of the fact that we have almost infinite knowledge available to us?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What two questions would you ask to get the most information about who a person truly is?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Which is a more valid point of view or are they both equally valid?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Does absolute power corrupt absolutely?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Why do we judge ourselves by our intentions but judge others by their actions?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What activities cause you to feel like you are living life to the fullest?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Does knowledge have intrinsic value or does it need to have a practical use to have value?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What would you genetically change about humans to make them a better species?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,How important is play in living a healthy and fulfilling life?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"Where do you think is the most worthwhile place to find meaning in life? Work, family, hobby, religion, philosophy, helping others, all the small miracles, or something else entirely?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What is the biggest waste of human potential?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Is a life that focuses on avoiding pain and seeking out pleasure a good and worthwhile life? Why or why not?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Does jealously have value in driving humans to improve themselves or is it a purely negative emotion?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What percentage of your life do you feel truly alive? When do you feel that way? How can you feel that way more often?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What do you think your future self will remember about you now?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"With that in mind, what are the most important things to learn about one’s self or is all self-knowledge equal?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What do you think existed before the universe was created?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Is math something that humans created or something we discovered? Is looking at reality mathematically an accurate representation of how things work?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Is it possible for a human to fathom the true depths of reality and existence?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"If the universe is finite, what would beyond the edge of the universe be like?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"What is the best path to find truth; science, math, art, philosophy, or something else?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"Is this something temporary and our minds will adapt and begin to understand this new reality or is it possible that the human mind will soon reach its limits of comprehension? If it’s only temporary, is there is a limit to what the human mind can comprehend? If we are reaching our limits, how do we continue to study our reality?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Is there inherent order in nature or is it all chaos and chance?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What in life is truly objective and not subjective?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Which do you think is more likely?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Is happiness just chemicals flowing through your brain or something more?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Why are humans so susceptible to magical thinking?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"If every neuron in a human was accurately simulated in a computer, would it result in human consciousness?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Is it possible that some animals are self-aware and think about their ability to think?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,How do you define consciousness?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Is it possible to prove that other people besides yourself have consciousness?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,How conscious do you think animals are?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"Assuming evolution is correct, do you think that if humans went extinct another species as intelligent as humans would evolve? If life exists long enough on a planet, is intelligence and consciousness inevitable?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Would it be more frightening to discover that humans are the most advanced species in the universe or that we are far from being the most advanced species in the universe?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,How would you define genius?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"So, which of your beliefs are most likely to be wrong and which are most liable to be true?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,How much does language affect our thinking?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Why are humans so confident in beliefs that can’t be proven?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"If all your memories were erased, what kind of person would you be?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Why do humans have such a strong urge to distract ourselves from the real world?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,What is the benefit of consciousness from an evolutionary stand point?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"Is the concept of “you” continuous or does past “you” continually fade into present and future “you”? In other words, what part of “you” sticks around over time considering that the atoms that make up your body are constantly being replaced and your memories are always changing?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"Is it possible that someone’s genes might affect their political leanings? If no, why not? If so, what would be the ramifications?"
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,Can rational thought exist without language?
C.B. Daniels,Conversation Starters World,https://conversationstartersworld.com/philosophical-questions/,"Would selectively breeding an animal such as a dog based on intelligence, increase its intelligence over time? If so, how intelligent could dogs become? If not, how does intelligence emerge in a species?"
